codigo,idioma,detalle
CVS0,Inglés,TOEFL 104/120 iBT
JRH0,Inglés,C1 (OTE) 
HEV0,Inglés,nivel avanzado
HEV0,Neerlandés,nivel básico
HEV0,Italiano,nivel básico
FMG0,Inglés,TOEFL 109/120 iBT
FMG0,Alemán,A2.1 MCER
GGR0,,
GRN0,,
JMJ0,,
LMS0,,
JGF0,,
AGZ0,,
FBG0,,
JGC0,,
JPS0,,
JRG0,,
LCG0,,
MBC0,,
MJC0,,
COZ0,,
GMJ0,,
HJQ0,,
IVG0,,
JAC0,,
JMH0,,
LSM0,,
LAR0,,
LMC0,,
LCR0,,
MMC0,,
NVP0,,
NUS0,,
OGC0,,
RMC0,,
VJH0,,
CPS0,,
GBG0,,
LGG0,,
OMR0,,
SMO0,,
ECV0,,
SFM0,,
BMC0,,
DMH0,,
NRQ0,,
MSQ0,,
AAV0,,
ALL0,,
AAG0,,
AVH0,,
CMM0,,
DGR0,,
EMP0,,
JBC0,,
JOS0,,
LAC0,,
MJA0,,
SMG0,,
